,logFC,logCPM,PValue,QValue
ENSGALG00010019581,0.586278944570488,5.80915120226924,0.0211120988797196,0.314208669151598
ENSGALG00010028610,0.685431849659686,5.39101810902124,0.0213613810830701,0.317253421169075
ENSGALG00010000674,1.07507282944661,4.98984133911321,0.0214993897598236,0.318592736796852
ENSGALG00010029365,0.521971213231586,7.4948780205089,0.0215755148041529,0.319365564689917
ENSGALG00010005304,0.891069221415409,3.00557604165472,0.0220633181347243,0.322027368725274
ENSGALG00010007966,3.2656300080002,-2.10208126682965,0.0220366536002684,0.322027368725274
ENSGALG00010012008,3.2656300080002,-2.10208126682965,0.0220366536002684,0.322027368725274
ENSGALG00010006259,0.549039658876698,6.05505076001792,0.0221842256397192,0.322288172270817
ENSGALG00010029445,0.586069503452572,7.60909734063487,0.0221808237388556,0.322288172270817
ENSGALG00010021594,0.543478629954243,4.87572306745619,0.0223495903198778,0.323631785045013
ENSGALG00010003131,0.730253345060871,6.97929108487549,0.0224403356417663,0.324240945140576
ENSGALG00010020338,0.562015234051452,8.15548430463792,0.0225289019648777,0.324816051922187
ENSGALG00010026091,0.593566781403036,6.49260062951101,0.0228788921359542,0.32808676107124
ENSGALG00010015562,0.677850912806176,4.5935715409118,0.0229791822213815,0.328464233426228
ENSGALG00010001149,1.03167937189609,4.01228454345989,0.0230631844802657,0.329311622343087
ENSGALG00010002063,3.22800923837766,-2.11123006836495,0.0231201753566729,0.329419225777108
ENSGALG00010027214,0.5194282401418,6.64618208270283,0.0232548454689164,0.329946569785375
ENSGALG00010009731,0.559283467902228,6.18817094589702,0.023217177545294,0.329946569785375
ENSGALG00010006804,0.534939412372262,6.12484916649621,0.0233125799424352,0.330393819141619
ENSGALG00010028253,1.54610288813898,-0.221855948206119,0.0233871010100863,0.331072532665267
ENSGALG00010022816,1.03603121243466,2.00441407704678,0.0234101730799191,0.331072532665267
ENSGALG00010027382,1.39976723650774,0.970377509422176,0.0236806403497146,0.334188019850528
ENSGALG00010028921,0.751852087988794,3.0948937780529,0.0239447359163333,0.335780812502518
ENSGALG00010029153,0.59334603605701,4.54427853240499,0.0239109935194285,0.335780812502518
ENSGALG00010027123,1.46473394067579,0.110336297446753,0.0238806621774871,0.335780812502518
ENSGALG00010014431,0.812162573216726,3.86692427309333,0.0239214868898526,0.335780812502518
ENSGALG00010013383,0.851409000697875,5.47248570015964,0.0240208274918793,0.336493652835769
ENSGALG00010003107,1.04792126866645,2.39499647255302,0.0243235027613382,0.34001857690089
ENSGALG00010022052,0.650396495962367,5.02176236606265,0.0243909263704109,0.340603690887436
ENSGALG00010001957,0.511827661719097,5.38773292651225,0.0244235621991758,0.340702299075832
ENSGALG00010014880,0.939698502023863,2.16532533258952,0.0244733913751061,0.341040292781551
ENSGALG00010015935,0.957068331173929,2.47238056775985,0.0247469432709551,0.344491931301635
