,gene_ids,n_cells,MT,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts
TOR4A,ENSGALG00010027896,1787,False,1787,0.10332048,91.05023288425903,2063.0
NDUFA8,ENSGALG00010027903,877,False,877,0.054840486,95.60775279210698,1095.0
RGS3_1,ENSGALG00010027912,90,False,90,0.0048079332,99.5492562728502,96.0
CDK5RAP2,ENSGALG00010027929,3528,False,3528,0.27134773,82.33084589572795,5418.0
POLE3,ENSGALG00010027932,920,False,920,0.056292884,95.39239745580207,1124.0
HDHD3,ENSGALG00010027937,794,False,794,0.045224622,96.0234386738118,903.0
BSPRY,ENSGALG00010027939,36,False,36,0.0018530575,99.81970250914009,37.0
WDR31,ENSGALG00010027944,13,False,13,0.0007011569,99.93489257274503,14.0
PRPF4,ENSGALG00010027948,962,False,962,0.053237844,95.18205038313216,1063.0
CDC26,ENSGALG00010027950,1663,False,1663,0.10101668,91.67125757499875,2017.0
SLC31A1,ENSGALG00010027953,464,False,464,0.051234536,97.67616567336106,1023.0
PPP6C,ENSGALG00010027960,905,False,905,0.049832225,95.46752141032704,995.0
RABEPK,ENSGALG00010027964,388,False,388,0.02108479,98.05679370962088,421.0
FKBP15,ENSGALG00010027968,800,False,800,0.05734462,95.9933890920018,1145.0
HSPA5,ENSGALG00010027969,2462,False,2462,0.34977713,87.66965493063555,6984.0
GAPVD1,ENSGALG00010027973,1816,False,1816,0.11699304,90.90499323884409,2336.0
LRSAM1,ENSGALG00010027976,412,False,412,0.022637352,97.93659538238093,452.0
RPL12,ENSGALG00010027979,7224,False,7224,0.8263635,63.82030350077628,16500.0
ENTPD2_2,ENSGALG00010027982,27,False,27,0.0016026443,99.86477688185506,32.0
TMEM141,ENSGALG00010027987,654,False,654,0.037862472,96.72459558271147,756.0
C9ORF142,ENSGALG00010027989,534,False,534,0.029098012,97.32558721891121,581.0
CLIC3,ENSGALG00010027993,3,False,3,0.00020033054,99.98497520909501,4.0
ABCA2,ENSGALG00010028002,974,False,974,0.058596686,95.1219512195122,1170.0
IER5L,ENSGALG00010028005,12,False,12,0.00060099165,99.93990083638002,12.0
NTMT1,ENSGALG00010028008,613,False,613,0.034056194,96.92993439174639,680.0
ASB6,ENSGALG00010028010,429,False,429,0.02338859,97.85145490058596,467.0
PRRX2,ENSGALG00010028012,7,False,7,0.00035057846,99.96494215455502,7.0
PRF1,ENSGALG00010028016,29,False,29,0.0017528923,99.85476035458507,35.0
C16ORF93,ENSGALG00010028020,598,False,598,0.03300446,97.00505834627134,659.0
ANKMY1,ENSGALG00010028026,361,False,361,0.01973256,98.19201682776581,394.0
FCN1,ENSGALG00010028033,107,False,107,0.0055591725,99.46411579105524,111.0
ENSGALG00010028037,ENSGALG00010028037,15,False,15,0.00080132217,99.92487604547503,16.0
DPP7,ENSGALG00010028042,391,False,391,0.026994541,98.04176891871587,539.0
ENSGALG00010028045,ENSGALG00010028045,5,False,5,0.00025041317,99.97495868182502,5.0
MAN1B1,ENSGALG00010028049,1037,False,1037,0.059047427,94.80643061050735,1179.0
SLC25A25,ENSGALG00010028056,549,False,549,0.032002803,97.25046326438623,639.0
NAIF1,ENSGALG00010028061,1116,False,1116,0.06966495,94.41077778334251,1391.0
FAM102A,ENSGALG00010028067,1351,False,1351,0.07958131,93.23383582911804,1589.0
DPM2,ENSGALG00010028071,784,False,784,0.042620324,96.07352131016177,851.0
ST6GALNAC4,ENSGALG00010028073,277,False,277,0.015876196,98.61271097310562,317.0
ST6GALNAC6,ENSGALG00010028076,4,False,4,0.00020033054,99.97996694546,4.0
AK1,ENSGALG00010028082,8,False,8,0.00050082634,99.95993389092001,10.0
ENG,ENSGALG00010028084,8,False,8,0.00045074374,99.95993389092001,9.0
FPGS,ENSGALG00010028091,212,False,212,0.011268593,98.93824810938048,225.0
CDK9,ENSGALG00010028095,115,False,115,0.006059999,99.42404968197526,121.0
TOR2A,ENSGALG00010028096,110,False,110,0.0056092553,99.44909100015025,112.0
TTC16,ENSGALG00010028100,4,False,4,0.00020033054,99.97996694546,4.0
GOLGA1,ENSGALG00010028104,2198,False,2198,0.13387088,88.99183653027495,2673.0
ARPC5L,ENSGALG00010028106,415,False,415,0.022286773,97.92157059147594,445.0
NOTCH1,ENSGALG00010028107,2016,False,2016,0.13612461,89.90334051184455,2718.0
COQ4,ENSGALG00010028110,901,False,901,0.050032552,95.48755446486703,999.0
TRUB2,ENSGALG00010028111,393,False,393,0.022136526,98.03175239144588,442.0
SWI5,ENSGALG00010028112,602,False,602,0.033204786,96.98502529173135,663.0
GOLGA2,ENSGALG00010028118,1746,False,1746,0.10712676,91.25557169329393,2139.0
SEC16A,ENSGALG00010028122,2489,False,2489,0.15165022,87.53443181249061,3028.0
DNM1,ENSGALG00010028128,284,False,284,0.019532228,98.57765312766064,390.0
INPP5E,ENSGALG00010028134,324,False,324,0.01802975,98.37732258226073,360.0
NUP214,ENSGALG00010028137,915,False,915,0.050583463,95.41743877397705,1010.0
PMPCA,ENSGALG00010028142,1001,False,1001,0.058746934,94.98672810136726,1173.0
ENSGALG00010028143,ENSGALG00010028143,5,False,5,0.00025041317,99.97495868182502,5.0
FAM78A,ENSGALG00010028144,356,False,356,0.021335203,98.21705814594081,426.0
SDCCAG3_2,ENSGALG00010028145,337,False,337,0.018730907,98.31221515500576,374.0
PPAPDC3_1,ENSGALG00010028148,5,False,5,0.00025041317,99.97495868182502,5.0
SNAPC4,ENSGALG00010028149,863,False,863,0.049331397,95.67786848299694,985.0
CIZ1,ENSGALG00010028155,311,False,311,0.01747884,98.4424300095157,349.0
PRRC2B,ENSGALG00010028157,1682,False,1682,0.09645916,91.5761005659338,1926.0
CARD9,ENSGALG00010028162,459,False,459,0.031602144,97.70120699153604,631.0
C9ORF16,ENSGALG00010028164,341,False,341,0.018230079,98.29218210046577,364.0
ENSGALG00010028167,ENSGALG00010028167,18,False,18,0.0009014875,99.90985125457004,18.0
PTGES2,ENSGALG00010028168,360,False,360,0.019982971,98.19702509140082,399.0
DNLZ,ENSGALG00010028169,962,False,962,0.053037513,95.18205038313216,1059.0
POMT1,ENSGALG00010028175,260,False,260,0.014874543,98.69785145490059,297.0
ODF2,ENSGALG00010028180,286,False,286,0.016477188,98.56763660039064,329.0
GPSM1,ENSGALG00010028189,184,False,184,0.009766114,99.07847949116041,195.0
UCK1,ENSGALG00010028198,704,False,704,0.046426605,96.47418240096158,927.0
QSOX2,ENSGALG00010028202,190,False,190,0.010667602,99.04842990935043,213.0
ENSGALG00010028205,ENSGALG00010028205,47,False,47,0.0027044623,99.76461160915511,54.0
ENSGALG00010028232,ENSGALG00010028232,628,False,628,0.03440677,96.85481043722142,687.0
RAPGEF1,ENSGALG00010028270,572,False,572,0.031301647,97.13527320078128,625.0
NACC2,ENSGALG00010028318,201,False,201,0.011368758,98.99333900936546,227.0
STRBP,ENSGALG00010028322,1054,False,1054,0.06480693,94.72129012871238,1294.0
