lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
CTR9,0.107997037,0.792927022,1,0.425895317,0.445912873,CTR9
NUMA1,0.789496839,0.79303864,1,0.031955923,0.027410671,NUMA1
STAMBP,0.082952023,0.79326189,1,0.403856749,0.418012726,STAMBP
GLTPD1,0.556027949,0.793384684,1,0.021487603,0.016642193,no
ENSVKKG00000016663,0.3978374,0.793407011,1,0.04077135,0.036221243,no
TGFB1I1,0.943294346,0.793719603,1,0.012672176,0.00783162,TGFB1I1
WBP4,0.134543106,0.793797756,1,0.228650138,0.231032795,WBP4
DPY19L3,0.220054165,0.794132723,1,0.038567493,0.033773862,DPY19L3
SGPP1,0.401195765,0.794378389,1,0.033057851,0.028389623,SGPP1
EVI2A,0.310061038,0.794434225,1,0.076584022,0.072931963,EVI2A
ENSVKKG00000011081,0.888659894,0.794612907,1,0.012672176,0.00783162,no
PPP3CC,0.307556838,0.794858613,1,0.069972452,0.066079295,PPP3CC
FGF21_2,1.494527221,0.795104339,1,0.008264463,0.003426334,no
CEBPA,1.140858889,0.795439453,1,0.020385675,0.01566324,CEBPA
DDIT3,0.185108691,0.796009234,1,0.04738292,0.042584435,DDIT3
LMTK2,0.321393996,0.796400322,1,0.036914601,0.032305433,LMTK2
NCOA5_2,0.819415271,0.79671323,1,0.020385675,0.01566324,no
CALCOCO2,0.014219029,0.796791462,1,0.768044077,0.767498776,CALCOCO2
DDX31,0.325397968,0.796813815,1,0.033057851,0.028389623,DDX31
APIP,0.246509492,0.797082056,1,0.04077135,0.036221243,APIP
F13A1,0.621672392,0.797115588,1,0.012121212,0.007342144,F13A1
C17ORF89,0.336701512,0.79724972,1,0.052341598,0.047968674,no
TASP1,0.656930685,0.797283253,1,0.031955923,0.027410671,TASP1
SRXN1,1.738416433,0.797305609,1,0.007713499,0.002936858,SRXN1
EMC3,0.069525696,0.797864565,1,0.387327824,0.400391581,EMC3
ZBTB17_1,0.957252502,0.797942827,1,0.015977961,0.011257954,no
JADE3,0.986175239,0.79799873,1,0.023140496,0.018600098,JADE3
LSG1,0.248319134,0.798434806,1,0.154820937,0.154674498,LSG1
NKRF,0.468372375,0.798513083,1,0.046831956,0.042584435,NKRF
ATG101,0.474022716,0.798568996,1,0.060055096,0.05628977,ATG101
ATAT1,0.185388774,0.798725559,1,0.020936639,0.016152717,ATAT1
FABP3,0.522151351,0.79918411,1,0.024242424,0.01957905,FABP3
ENSVKKG00000003659,3.244663239,0.799508493,1,0.007162534,0.002447381,no
RACGAP1,0.501069844,0.799821723,1,0.019834711,0.015173764,RACGAP1
TUBB4A_2,1.986949444,0.799933599,1,0.007162534,0.002447381,no
NSL1,0.38383624,0.80028044,1,0.051790634,0.047479197,NSL1
UNC50,-0.038208313,0.800493039,1,0.116804408,0.11257954,UNC50
NOP10,0.209690675,0.800862325,1,0.222038567,0.228585414,NOP10
CNNM4_1,1.462648153,0.801500289,1,0.011019284,0.006363191,no
POU2F1,0.120305724,0.801791334,1,0.049035813,0.04454234,POU2F1
ENSVKKG00000001203,0.633074284,0.801847307,1,0.023140496,0.018600098,no
NELFCD,0.3923814,0.802496672,1,0.015426997,0.010768478,NELFCD
GYG2,1.811280131,0.802675831,1,0.00661157,0.001957905,GYG2
PREP,0.129128754,0.802810207,1,0.258953168,0.262359276,PREP
KIAA2026,0.209932536,0.802910993,1,0.172451791,0.173274596,KIAA2026
JUN,0.248943225,0.802966987,1,0.195592287,0.195301028,JUN
AGPAT6,0.089065209,0.802989384,1,0.158677686,0.158100832,no
PNPLA7,0.2592614,0.803000583,1,0.141046832,0.140969163,PNPLA7
ZNF638,0.165508181,0.803414972,1,0.401652893,0.422418013,ZNF638
KCTD18,0.168906808,0.804725699,1,0.045730028,0.041116006,KCTD18
ATP11C,0.158270583,0.805185143,1,0.101928375,0.098874205,ATP11C
SEC22B,0.464870214,0.805543781,1,0.044628099,0.04062653,SEC22B
NPRL2,0.934793651,0.805723115,1,0.014325069,0.009789525,NPRL2
UBE2D2,0.052906208,0.805790368,1,0.182369146,0.180127264,no
CD99,0.011211836,0.806205127,1,0.532782369,0.550171317,no
IRF8,0.178356215,0.806306022,1,0.391184573,0.402838962,IRF8
GMPPA,0.570172429,0.806429343,1,0.018732782,0.014194812,GMPPA
COX18_2,0.089304708,0.806541457,1,0.063360882,0.059226628,no
HERC1,0.211238399,0.806754485,1,0.317906336,0.329417523,HERC1
ENSVKKG00000007023,0.369487852,0.806799335,1,0.038567493,0.034263338,no
RBBP5,0.235174313,0.806877824,1,0.137190083,0.1360744,RBBP5
CDC23,0.347997487,0.807102088,1,0.074380165,0.070974058,CDC23
LPCAT2,0.035215583,0.807236654,1,0.655647383,0.667156143,LPCAT2
CYP11A1,3.657064438,0.807629171,1,0.005509642,0.000978953,CYP11A1
PARP4_2,0.957061648,0.807640386,1,0.009917355,0.005384239,no
GABPB2,3.021831036,0.807763759,1,0.005509642,0.000978953,GABPB2
RAPSN,2.839261532,0.807786191,1,0.005509642,0.000978953,RAPSN
TNNC1,1.841809869,0.807943219,1,0.005509642,0.000978953,TNNC1
DHX35,0.299338937,0.808223646,1,0.018181818,0.013705335,DHX35
ENSVKKG00000004503,0.833194733,0.808492878,1,0.013774105,0.009300049,no
APOE,0.115908995,0.808605065,1,0.02369146,0.019089574,APOE
ZSWIM4,0.760484695,0.808649941,1,0.013774105,0.009300049,ZSWIM4
ENSVKKG00000002826,0.836762965,0.80889677,1,0.013774105,0.009300049,no
PRSS57,0.762975633,0.80896409,1,0.021487603,0.017131669,PRSS57
RWDD2A,0.269374907,0.809098735,1,0.039118457,0.034752814,RWDD2A
YDJC,0.791490138,0.809154838,1,0.022038567,0.017621145,YDJC
PURG,0.379789561,0.809267049,1,0.063360882,0.059716104,PURG
POLR1A_1,1.554254413,0.809412928,1,0.009366391,0.004894763,no
FBXL17,0.476990968,0.809570036,1,0.036363636,0.032305433,FBXL17
RSAD2,1.387280107,0.809659815,1,0.009366391,0.004894763,RSAD2
NCKAP1,0.231573939,0.810018958,1,0.043526171,0.039158101,NCKAP1
GZMA_3,4.16655159,0.810265891,1,0.004958678,0.000489476,no
MMP3_2,3.709076405,0.81035569,1,0.004958678,0.000489476,no
TMEM150C,3.094800711,0.810400591,1,0.004958678,0.000489476,TMEM150C
RRH,3.134077072,0.810423041,1,0.004958678,0.000489476,RRH
BCAM,3.142346382,0.810423041,1,0.004958678,0.000489476,BCAM
ALAS2,1.519532561,0.81052407,1,0.01322314,0.008810573,ALAS2
ELL,0.09944737,0.810580198,1,0.117355372,0.114537445,ELL
AXL,1.267283082,0.810670006,1,0.01707989,0.012726383,AXL
XPO4,0.176817119,0.810726137,1,0.039669421,0.035242291,XPO4
KCTD10,0.053492256,0.810793495,1,0.458953168,0.480665688,KCTD10
ENSVKKG00000014227,0.018068872,0.810804722,1,0.018181818,0.013705335,no
MTF1,0.361653835,0.810939443,1,0.013774105,0.009300049,MTF1
E2F4,0.6363343,0.811175219,1,0.01322314,0.008810573,E2F4
LETM1,0.089227036,0.811265043,1,0.458953168,0.478218306,LETM1
MYZAP_1,0.294932067,0.81135487,1,0.153168044,0.154674498,no
HIST2H3A_2,0.484261841,0.812028648,1,0.114049587,0.111600587,no
RAB6A,0.013008459,0.81206234,1,0.564738292,0.577092511,RAB6A
