lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
TCF3,0.511808693,0.004161184,0.039201225,0.276033058,0.235927558,TCF3
ZCCHC10,0.620097041,0.004185226,0.03938098,0.197245179,0.148800783,ZCCHC10
RPL37,0.045603089,0.004190011,0.039406253,0.914049587,0.924620656,RPL37
MDH1,0.267451078,0.004224803,0.039670303,0.491460055,0.478218306,MDH1
IDI1,1.309912086,0.00422654,0.039670303,0.114049587,0.063142438,IDI1
OCSTAMP,0.455733895,0.004263358,0.039975899,0.254545455,0.208516887,OCSTAMP
RBBP4,0.495343387,0.00426725,0.039992421,0.289807163,0.253548703,RBBP4
BID,1.14113903,0.004337669,0.040571366,0.121763085,0.07195301,BID
SCYL3,0.436681062,0.004361045,0.040769687,0.330578512,0.301517376,SCYL3
TSR2,0.846441746,0.004367403,0.040808809,0.172451791,0.125305923,TSR2
RNF185,0.384860367,0.00438234,0.040885608,0.366391185,0.337249143,RNF185
GLYR1,0.398057342,0.004430044,0.041209508,0.339393939,0.311306902,GLYR1
ZBED4,0.711136997,0.004511895,0.041824159,0.206060606,0.162016642,ZBED4
NAA30,0.717280984,0.004513124,0.041824159,0.197245179,0.152227117,NAA30
UAP1,0.424497932,0.004653117,0.042880864,0.295316804,0.255506608,UAP1
CCNL2,0.633445919,0.004658174,0.0429064,0.200550964,0.154674498,CCNL2
TMEM106A,1.271806717,0.004708802,0.043330211,0.093663912,0.041605482,TMEM106A
WDR44,0.42772162,0.004721803,0.043386046,0.239118457,0.191385218,WDR44
CALCRL,1.278967738,0.004790108,0.043947841,0.100826446,0.049437102,CALCRL
TCF20,0.586389303,0.004821332,0.044127765,0.274931129,0.237395986,TCF20
ZFAND3,0.485090345,0.004841377,0.044289633,0.239118457,0.192853647,ZFAND3
KSR1,1.718526483,0.004855584,0.044397969,0.082093664,0.029858052,KSR1
DPF2,0.321999162,0.004861497,0.044430391,0.375206612,0.339207048,DPF2
TOMM7,0.50614363,0.004932071,0.044965921,0.229201102,0.182574645,TOMM7
CRNKL1,0.364655226,0.004978887,0.045304734,0.315151515,0.278511992,CRNKL1
DNAJB12,0.375620216,0.005022944,0.045617179,0.298071625,0.259422418,DNAJB12
CSF2RA,0.127727717,0.005098148,0.046188434,0.81322314,0.836514929,CSF2RA
SLC25A29,0.488574743,0.005113494,0.04628279,0.234710744,0.187469408,SLC25A29
FICD,0.555083275,0.005120149,0.046320693,0.221487603,0.177190406,FICD
SUZ12,0.521104276,0.005148925,0.04651377,0.267768595,0.226627509,SUZ12
FLOT1,0.744612873,0.005252556,0.047358783,0.192837466,0.149779736,FLOT1
UGDH,0.443385392,0.005333954,0.048000474,0.248484848,0.205580029,UGDH
CNEP1R1,0.75867784,0.005407075,0.048588611,0.155371901,0.106705825,CNEP1R1
ERH,0.205352977,0.005539003,0.049655288,0.568044077,0.558492413,ERH
