lps_names,lps_logfoldchanges_x,lps_pvals_x,lps_pvals_adj_x,lps_pts_x,UNST_pts_x,1to1_bat_dragon_x,lps_logfoldchanges_y,lps_pvals_y,lps_pvals_adj_y,lps_pts_y,UNST_pts_y,1to1_bat_dragon_y
CELF1,0.506412029,2.56407e-07,5.39771e-06,0.436914601,0.363680861,CELF1,-0.030891774,0.876700798,1.0,0.2966046,0.293623251,CELF1
TOMM7,0.50614363,0.004932071,0.044965921,0.229201102,0.182574645,TOMM7,-0.229806885,4.7436e-07,1.25137e-05,0.247316539,0.27421104,TOMM7
NRDE2,0.505296826,7.99976e-05,0.001107459,0.330027548,0.270680372,NRDE2,-0.121933825,0.622146393,1.0,0.060514786,0.063225247,NRDE2
MRPL38,0.50472939,0.000959784,0.010769317,0.309641873,0.264806657,MRPL38,-0.064010978,0.429190313,1.0,0.060405257,0.065339985,MRPL38
ALKBH5,0.500973284,9.62046e-05,0.001312623,0.341597796,0.29319628,ALKBH5,-0.106172584,0.496938285,1.0,0.083844469,0.087626071,ALKBH5
CUL1,0.500892282,1.27126e-07,2.81748e-06,0.46446281,0.411160059,CUL1,0.077656321,0.251138374,1.0,0.125355969,0.118154213,CUL1
PCF11,0.500885725,0.000735663,0.008441234,0.346556474,0.303475281,PCF11,0.005792083,0.811963909,1.0,0.189430449,0.187235658,PCF11
CHD1,0.499396801,2.88772e-05,0.000438224,0.437465565,0.390602056,CHD1,0.51487726,5.5617899999999994e-52,8.82149e-50,0.400219058,0.314553736,CHD1
SF3B3,0.498996347,6.4263e-06,0.00010927,0.43415978,0.387665198,SF3B3,-0.020610005,0.948176102,1.0,0.126998905,0.12693851,SF3B3
TPD52L2,0.497358412,1.7789e-11,6.34859e-10,0.601101928,0.556534508,TPD52L2,-0.112543993,0.18834298,1.0,0.134392114,0.141741677,TPD52L2
IRAK1,0.497091472,2.11898e-08,5.34645e-07,0.490909091,0.426823299,IRAK1,0.127369463,0.26579205,1.0,0.064403067,0.057585945,IRAK1
IL10RB,0.496020585,1.07682e-08,2.83506e-07,0.50137741,0.442486539,IL10RB,0.108510159,0.255783945,1.0,0.318948521,0.32409717,IL10RB
BIRC6,0.496011466,2.24012e-10,7.26279e-09,0.61322314,0.567302986,BIRC6,-0.082298048,0.058754347,0.503980856,0.338773275,0.345569895,BIRC6
RBBP4,0.495343387,0.00426725,0.039992421,0.289807163,0.253548703,RBBP4,-0.094262645,0.173686179,1.0,0.203943045,0.209847088,RBBP4
ANXA11,0.493440211,1.06104e-05,0.0001735,0.4,0.347038669,ANXA11,0.141226679,0.028305436,0.278324068,0.143702081,0.130246177,ANXA11
RASAL2,0.489762008,8.09108e-15,3.82584e-13,0.69862259,0.638277044,RASAL2,0.126725018,0.052719986,0.461996415,0.198138007,0.187777898,RASAL2
