	Turtle-5-control-2	Turtle-5-control-1	Turtle-5-8h-PIC	Turtle-3-8h-PIC
ENSCPBG00000005411	139	117	105	85
ENSCPBG00000011509	91	114	70	68
ENSCPBG00000002083	13	23	9	13
ENSCPBG00000013940	83	80	52	58
ENSCPBG00000017760	64	62	28	256
ENSCPBG00000017762	684	676	643	612
ENSCPBG00000002079	271	282	174	196
ENSCPBG00000002473	9	5	4	225
ENSCPBG00000018673	10	11	5	10
ENSCPBG00000002076	475	579	396	1047
ENSCPBG00000023504	15	19	8	19
ENSCPBG00000020360	5	3	2	2
ENSCPBG00000005247	302	271	274	384
ENSCPBG00000018563	206	168	231	142
ENSCPBG00000020653	534	471	534	239
ENSCPBG00000000577	19	13	9	16
ENSCPBG00000015179	4	0	2	4
ENSCPBG00000021230	1	2	0	2
ENSCPBG00000005331	3	1	3	4
ENSCPBG00000012391	21	22	17	3
ENSCPBG00000002071	365	395	292	518
ENSCPBG00000002070	5	5	5	3
ENSCPBG00000006994	9	8	11	6
ENSCPBG00000002628	332	298	192	520
ENSCPBG00000011937	857	856	547	693
ENSCPBG00000011980	466	406	421	1014
ENSCPBG00000000331	715	369	984	3356
ENSCPBG00000007761	16	9	18	25
ENSCPBG00000002068	222	218	240	322
ENSCPBG00000002061	577	580	363	1202
ENSCPBG00000000217	33	34	15	97
ENSCPBG00000002213	151	172	60	137
ENSCPBG00000003021	65	77	98	118
ENSCPBG00000011542	52	48	24	50
ENSCPBG00000014851	0	0	2	5
ENSCPBG00000009581	144	90	121	126
ENSCPBG00000021161	36260	24449	49883	22756
ENSCPBG00000022643	120	92	126	94
ENSCPBG00000009422	237	179	282	412
ENSCPBG00000008613	440	488	375	723
ENSCPBG00000007923	904	762	1029	1166
ENSCPBG00000003247	7706	7863	4862	29134
ENSCPBG00000027123	44	30	31	51
ENSCPBG00000002048	50	48	42	64
ENSCPBG00000004584	1488	1261	1045	3376
ENSCPBG00000001727	14	10	16	8
ENSCPBG00000004091	15	28	22	4
ENSCPBG00000002044	6	1	4	3
ENSCPBG00000002521	11	10	11	15
ENSCPBG00000023766	3418	3138	2886	3336
ENSCPBG00000005880	163	167	171	147
ENSCPBG00000000212	2	0	0	4
ENSCPBG00000006530	48	94	74	97
ENSCPBG00000017541	32	34	28	11
ENSCPBG00000004363	102	123	69	211
ENSCPBG00000012079	73	84	34	154
ENSCPBG00000006491	66	76	53	93
ENSCPBG00000011401	4474	3594	3977	4437
ENSCPBG00000001995	38	48	53	64
ENSCPBG00000024646	1737	1297	1985	1924
ENSCPBG00000020840	1052	1072	762	3183
ENSCPBG00000021364	18	9	12	38
ENSCPBG00000001961	227	137	371	35
ENSCPBG00000009638	450	453	297	500
ENSCPBG00000001952	692	576	550	947
ENSCPBG00000027230	6088	4878	5934	4998
ENSCPBG00000006110	4	4	3	11
ENSCPBG00000005791	348	321	245	641
ENSCPBG00000006993	302	242	222	913
ENSCPBG00000001949	58	40	48	108
ENSCPBG00000003370	7	5	6	58
ENSCPBG00000007491	120	119	91	84
ENSCPBG00000001943	14	15	5	12
ENSCPBG00000005985	42	24	46	76
ENSCPBG00000005831	102	73	49	74
ENSCPBG00000028248	1780	1862	1729	2040
ENSCPBG00000009770	103	94	101	291
ENSCPBG00000003222	40	29	15	52
ENSCPBG00000007734	624	366	650	478
ENSCPBG00000006517	65	95	52	322
ENSCPBG00000000196	489	518	365	380
ENSCPBG00000012956	35	41	9	536
ENSCPBG00000009578	490	424	439	454
ENSCPBG00000006348	3	2	4	41
ENSCPBG00000013968	500	531	318	1937
ENSCPBG00000010818	273	282	187	366
ENSCPBG00000018054	120	81	96	149
ENSCPBG00000010797	377	306	408	485
ENSCPBG00000004985	52	30	49	446
ENSCPBG00000021977	143	174	127	104
ENSCPBG00000022807	344	227	368	228
ENSCPBG00000003190	907	1376	815	3597
ENSCPBG00000004446	224	238	238	2957
ENSCPBG00000001012	1	4	2	68
ENSCPBG00000009419	15	23	22	20
ENSCPBG00000001910	26	57	24	49
ENSCPBG00000021090	3	2	1	0
ENSCPBG00000012924	72	78	58	175
ENSCPBG00000018375	3	0	2	1
ENSCPBG00000027533	413	268	661	866
ENSCPBG00000010457	599	411	717	742
ENSCPBG00000011467	217	251	89	1208
ENSCPBG00000009761	3	2	2	17
ENSCPBG00000008232	268	304	171	300
ENSCPBG00000001905	1	3	8	12
ENSCPBG00000001804	12	12	4	14
ENSCPBG00000020746	8	12	4	8
ENSCPBG00000001507	232	302	234	690
ENSCPBG00000013861	11	7	9	5
ENSCPBG00000006258	4	4	2	1
ENSCPBG00000001901	17	7	4	132
ENSCPBG00000001900	58	52	43	122
ENSCPBG00000020557	1258	1075	1391	643
ENSCPBG00000005393	3	0	1	9
ENSCPBG00000001898	135	134	88	270
ENSCPBG00000022679	1931	1549	1564	2699
ENSCPBG00000005493	89	82	52	50
ENSCPBG00000021761	280	271	109	310
ENSCPBG00000009181	413	369	294	1413
ENSCPBG00000001893	249	248	182	306
ENSCPBG00000012361	680	625	505	739
ENSCPBG00000006801	1362	1202	1642	957
ENSCPBG00000008743	369	378	228	232
ENSCPBG00000007880	129	117	105	22
ENSCPBG00000006248	927	600	1087	457
ENSCPBG00000001885	1255	772	1156	1324
ENSCPBG00000003859	2737	2797	2999	3188
ENSCPBG00000001176	2	4	2	7
ENSCPBG00000013166	5	8	3	0
ENSCPBG00000002835	69	73	76	75
ENSCPBG00000001881	719	740	445	1249
ENSCPBG00000008950	2	0	3	2
ENSCPBG00000016435	416	333	315	461
ENSCPBG00000001880	47	34	28	77
ENSCPBG00000006157	173	147	216	195
ENSCPBG00000000908	281	279	284	179
ENSCPBG00000001867	1201	1000	1248	940
ENSCPBG00000024474	477	326	592	359
ENSCPBG00000026498	442	343	435	528
ENSCPBG00000001863	78	81	47	64
ENSCPBG00000001861	7	10	20	7
ENSCPBG00000009323	270	235	220	450
ENSCPBG00000000446	11	2	9	31
ENSCPBG00000004766	63	92	39	72
ENSCPBG00000008220	371	248	357	234
ENSCPBG00000016039	301	334	188	314
ENSCPBG00000025940	89	66	95	57
ENSCPBG00000002783	29	35	22	84
ENSCPBG00000004936	2288	2141	1489	5004
ENSCPBG00000027137	98	94	61	47
ENSCPBG00000009806	517	495	547	1044
ENSCPBG00000024241	982	869	1910	282
ENSCPBG00000007916	11	3	2	4
ENSCPBG00000015288	765	581	774	571
ENSCPBG00000005940	71	114	85	54
ENSCPBG00000008298	6098	3491	9461	3623
ENSCPBG00000015463	7	9	7	30
ENSCPBG00000001818	2575	2266	3073	4444
ENSCPBG00000026666	18	16	52	11
ENSCPBG00000006170	90	79	75	143
ENSCPBG00000002319	249	232	186	270
ENSCPBG00000011592	172	158	189	4773
ENSCPBG00000009937	2510	2111	2042	930
ENSCPBG00000003938	542	476	502	668
ENSCPBG00000000241	809	834	555	803
ENSCPBG00000004171	444	475	230	568
ENSCPBG00000001812	398	391	242	489
ENSCPBG00000001807	14	26	14	682
ENSCPBG00000020061	3	3	1	0
ENSCPBG00000016862	12065	8784	13786	8590
ENSCPBG00000001800	6	4	1	1
ENSCPBG00000005796	12	15	7	0
ENSCPBG00000021121	286	274	313	487
ENSCPBG00000001799	68	71	55	81
ENSCPBG00000016612	1124	1020	1076	1102
ENSCPBG00000023929	764	758	571	707
ENSCPBG00000026511	6	2	3	5
ENSCPBG00000008993	1178	882	1174	1993
ENSCPBG00000001769	436	415	225	280
ENSCPBG00000002197	9	4	3	1
ENSCPBG00000008991	4684	3297	3272	11084
ENSCPBG00000004246	32	37	10	60
ENSCPBG00000001792	259	238	243	1078
ENSCPBG00000002352	8	4	7	49
ENSCPBG00000006102	2	4	2	0
ENSCPBG00000001024	2430	2138	1962	1772
ENSCPBG00000010561	228	227	107	173
ENSCPBG00000003812	699	607	602	666
ENSCPBG00000001962	10	25	13	53
ENSCPBG00000007979	8	8	2	2
ENSCPBG00000026015	171	189	148	132
ENSCPBG00000019693	213	173	208	280
ENSCPBG00000008181	3	12	4	26
ENSCPBG00000010703	582	672	257	956
ENSCPBG00000005134	116	104	137	29
ENSCPBG00000025231	50	33	43	41
ENSCPBG00000008358	365	315	260	486
ENSCPBG00000002343	20	16	18	10
ENSCPBG00000027535	1777	1695	1708	3581
ENSCPBG00000005138	2	1	0	4
ENSCPBG00000024237	182	139	100	193
ENSCPBG00000003497	6	7	3	13
ENSCPBG00000000839	11	4	51	806
ENSCPBG00000009825	3	0	1	3
ENSCPBG00000021334	733	668	457	703
ENSCPBG00000004011	204	257	145	134
ENSCPBG00000004999	3	6	1	20
ENSCPBG00000024032	307	272	402	414
ENSCPBG00000001553	1328	1192	788	1460
ENSCPBG00000023980	147	133	133	39
ENSCPBG00000001948	5	3	5	4
ENSCPBG00000006073	14	17	20	8
ENSCPBG00000015651	222	225	116	248
ENSCPBG00000005887	41	37	20	61
ENSCPBG00000009577	1117	905	1038	616
ENSCPBG00000003611	864	831	617	1550
ENSCPBG00000009856	2	3	3	24
ENSCPBG00000028412	14	25	23	28
ENSCPBG00000013087	1	3	2	2
ENSCPBG00000002049	12	17	19	61
ENSCPBG00000001763	22	15	17	8
ENSCPBG00000004817	91	69	88	79
ENSCPBG00000009927	30	15	16	8
ENSCPBG00000010110	7	15	17	0
ENSCPBG00000010883	10	17	12	20
ENSCPBG00000001053	16131	16225	9093	12584
ENSCPBG00000010951	1398	1169	1212	718
ENSCPBG00000000353	45	34	31	22
ENSCPBG00000001758	7	9	11	4
ENSCPBG00000024964	724	733	524	788
ENSCPBG00000013269	55	51	43	55
ENSCPBG00000001218	6	3	6	28
ENSCPBG00000006450	11	6	10	0
ENSCPBG00000015686	285	307	153	872
ENSCPBG00000008726	645	499	423	1638
ENSCPBG00000001755	4	4	3	7
ENSCPBG00000010374	54	77	55	39
ENSCPBG00000000208	234	185	297	181
ENSCPBG00000005415	175	135	137	166
ENSCPBG00000020016	947	810	1022	1938
ENSCPBG00000023512	2178	2035	1582	1292
ENSCPBG00000002326	27	31	18	1004
ENSCPBG00000002759	1074	904	1000	2180
ENSCPBG00000016516	200	188	223	208
ENSCPBG00000023447	302	262	250	95
ENSCPBG00000009599	0	2	0	3
ENSCPBG00000020215	435	462	329	731
ENSCPBG00000016295	304	228	352	344
ENSCPBG00000007573	241	196	156	188
ENSCPBG00000019901	179	187	153	157
ENSCPBG00000000238	27	12	14	10
ENSCPBG00000006267	57	65	52	60
ENSCPBG00000001661	223	241	114	297
ENSCPBG00000010835	141	66	124	157
ENSCPBG00000006473	1117	1015	523	1663
ENSCPBG00000019174	149	149	143	96
ENSCPBG00000009784	34	46	36	275
ENSCPBG00000001735	1372	1376	1170	1607
ENSCPBG00000016413	63	76	67	61
ENSCPBG00000001850	47	50	40	142
ENSCPBG00000000512	1285	1095	1333	1628
ENSCPBG00000027799	253	181	186	286
ENSCPBG00000002497	603	560	431	821
ENSCPBG00000011094	2	2	3	6
ENSCPBG00000020990	1687	1379	1210	1542
ENSCPBG00000001732	3524	3238	3940	13383
ENSCPBG00000010609	2	2	2	1
ENSCPBG00000005654	41	33	15	1
ENSCPBG00000013895	7	10	4	2
ENSCPBG00000011068	34	27	39	37
ENSCPBG00000007263	22	12	6	9
ENSCPBG00000003395	2053	1772	2804	744
ENSCPBG00000016038	479	363	257	608
ENSCPBG00000014918	4872	4628	5233	7668
ENSCPBG00000013434	2	7	5	10
ENSCPBG00000012937	997	865	809	11356
ENSCPBG00000016234	16	8	8	0
ENSCPBG00000010919	167	207	119	249
ENSCPBG00000012676	621	598	443	630
ENSCPBG00000007166	3	3	5	74
ENSCPBG00000002849	101	70	51	202
ENSCPBG00000027266	2	6	0	0
ENSCPBG00000002089	765	737	454	853
ENSCPBG00000001729	15	28	17	14
ENSCPBG00000010418	2627	1928	2553	2298
ENSCPBG00000007436	7432	6312	7723	8110
ENSCPBG00000015983	161	164	113	206
ENSCPBG00000007891	11	8	9	29
ENSCPBG00000022434	72	76	49	36
ENSCPBG00000003319	1	2	0	19
ENSCPBG00000001721	51	70	33	1763
ENSCPBG00000017884	120	81	65	366
ENSCPBG00000002715	33	27	25	51
ENSCPBG00000009989	9	15	8	126
ENSCPBG00000006416	75	60	42	477
ENSCPBG00000002408	113	109	66	82
ENSCPBG00000011862	438	339	364	6406
ENSCPBG00000003973	84	84	25	343
ENSCPBG00000011206	186	153	163	1777
ENSCPBG00000009020	1330	1151	1543	1721
ENSCPBG00000000055	9	16	15	4
ENSCPBG00000003619	385	279	429	437
ENSCPBG00000001705	54	42	48	71
ENSCPBG00000026280	11	15	4	21
ENSCPBG00000004491	373	270	292	572
ENSCPBG00000025359	127	114	148	219
ENSCPBG00000003074	78	87	49	111
ENSCPBG00000011207	195	162	191	1846
ENSCPBG00000027109	27	23	29	32
ENSCPBG00000027587	119	143	97	105
ENSCPBG00000007475	14	11	12	25
ENSCPBG00000001691	482	325	913	417
ENSCPBG00000001785	17677	16400	10649	2173
ENSCPBG00000004159	178	134	109	121
ENSCPBG00000015562	0	4	2	0
ENSCPBG00000007038	333	302	209	3328
ENSCPBG00000010439	1976	1671	1848	3668
ENSCPBG00000001700	731	612	750	857
ENSCPBG00000000292	4	0	0	5
ENSCPBG00000003139	1016	917	795	1589
ENSCPBG00000017598	309	249	201	381
ENSCPBG00000010583	2	1	3	3
ENSCPBG00000004598	1566	994	2167	1221
ENSCPBG00000005961	18	25	7	15
ENSCPBG00000005854	35	32	19	8
ENSCPBG00000026363	12	17	5	24
ENSCPBG00000000385	3	0	1	2
ENSCPBG00000014312	78	72	57	600
ENSCPBG00000004224	317	240	228	264
ENSCPBG00000020007	8	6	9	2
ENSCPBG00000026599	568	560	538	834
ENSCPBG00000001687	374	362	380	2498
ENSCPBG00000002494	118	94	90	115
ENSCPBG00000011966	2885	2723	2027	2753
ENSCPBG00000010196	1209	1064	1048	1888
ENSCPBG00000001674	123	142	96	210
ENSCPBG00000020496	118	115	76	75
ENSCPBG00000001673	284	373	159	593
ENSCPBG00000024828	11	9	7	7
ENSCPBG00000001672	114	95	78	237
ENSCPBG00000013579	315	377	177	752
ENSCPBG00000009630	100	98	76	174
ENSCPBG00000004478	64	77	35	76
ENSCPBG00000011316	24	29	25	48
ENSCPBG00000022422	898	718	567	24086
ENSCPBG00000005682	4	8	6	12
ENSCPBG00000008920	1118	1110	625	5659
ENSCPBG00000019098	113	86	180	53
ENSCPBG00000016237	140	194	94	64
ENSCPBG00000002318	91	95	94	376
ENSCPBG00000013291	304	244	263	2
ENSCPBG00000013617	57	50	69	74
ENSCPBG00000012914	486	436	436	831
ENSCPBG00000020126	55	62	53	125
ENSCPBG00000012298	465	434	361	298
ENSCPBG00000002249	82	43	50	63
ENSCPBG00000021620	317	336	349	552
ENSCPBG00000001639	2101	1531	2246	2929
ENSCPBG00000001829	226	162	227	108
ENSCPBG00000001637	205	183	148	622
ENSCPBG00000000690	3	4	19	7
ENSCPBG00000010941	96	78	93	131
ENSCPBG00000019180	4	5	15	3
ENSCPBG00000016064	184	160	183	598
ENSCPBG00000012259	327	196	314	220
ENSCPBG00000004044	27	18	25	41
ENSCPBG00000002854	566	719	565	2584
ENSCPBG00000008056	8	4	6	1
ENSCPBG00000002555	5	2	7	0
ENSCPBG00000026236	49	59	23	5
ENSCPBG00000022428	39	21	16	16
ENSCPBG00000026103	1368	1463	727	1424
ENSCPBG00000007905	3	0	0	49
ENSCPBG00000002147	292	243	195	341
ENSCPBG00000004473	35	24	18	32
ENSCPBG00000025770	257	223	217	273
ENSCPBG00000001626	33	41	47	66
ENSCPBG00000013065	553	582	243	395
ENSCPBG00000010029	255	200	275	3996
ENSCPBG00000002237	1	2	0	3
ENSCPBG00000003750	322	245	258	221
ENSCPBG00000000147	2	1	3	2
ENSCPBG00000017219	26	39	22	71
ENSCPBG00000003250	115	125	88	121
ENSCPBG00000001422	43	22	38	229
ENSCPBG00000016487	1738	1292	2021	2775
ENSCPBG00000003345	184	148	210	200
ENSCPBG00000009521	321	247	274	319
ENSCPBG00000010874	8	15	12	10
ENSCPBG00000022748	60	51	53	60
ENSCPBG00000017097	301	272	244	307
ENSCPBG00000006466	51	55	58	15
ENSCPBG00000010446	271	231	251	438
ENSCPBG00000023648	155	193	107	341
ENSCPBG00000001611	1372	1194	1053	1134
ENSCPBG00000011971	414	341	272	206
ENSCPBG00000004282	671	634	750	743
ENSCPBG00000024147	74	85	101	61
ENSCPBG00000006499	2	4	0	10
ENSCPBG00000005285	181	127	267	164
ENSCPBG00000001682	43	41	42	45
ENSCPBG00000001609	12	6	2	8
ENSCPBG00000000694	2	1	5	1
ENSCPBG00000000500	25	12	9	4
ENSCPBG00000002092	99	111	107	447
ENSCPBG00000010078	59	68	20	21
ENSCPBG00000005174	150	165	79	209
ENSCPBG00000003065	501	422	347	763
ENSCPBG00000003087	10	3	5	4
ENSCPBG00000014626	977	1210	558	3059
ENSCPBG00000027183	1423	1250	1070	1741
ENSCPBG00000008792	371	266	512	222
ENSCPBG00000001586	532	616	556	1317
ENSCPBG00000005297	52	45	34	275
ENSCPBG00000023830	263	188	270	217
ENSCPBG00000024047	1127	757	1121	1234
ENSCPBG00000018483	1592	1137	1536	2011
ENSCPBG00000023643	34	22	25	124
ENSCPBG00000008959	8	6	8	30
ENSCPBG00000028393	287	271	380	409
ENSCPBG00000010301	1604	1495	1467	1912
ENSCPBG00000000914	2	1	2	0
ENSCPBG00000004045	269	258	234	297
ENSCPBG00000015347	57	39	72	54
ENSCPBG00000008477	391	376	280	1174
ENSCPBG00000003654	51	27	44	54
ENSCPBG00000011752	1699	1807	1189	1412
ENSCPBG00000003241	5	8	15	525
ENSCPBG00000006981	36	32	47	47
ENSCPBG00000025749	4	3	0	12
ENSCPBG00000002109	27259	21809	37377	14461
ENSCPBG00000012281	158	132	141	129
ENSCPBG00000001571	213	171	226	519
ENSCPBG00000018884	337	244	332	273
ENSCPBG00000018949	2496	1986	2590	4743
ENSCPBG00000003633	39	44	22	41
ENSCPBG00000006554	362	344	226	260
ENSCPBG00000020516	114	91	56	1
ENSCPBG00000020903	63	73	24	62
ENSCPBG00000022805	9	2	8	4
ENSCPBG00000001569	18	18	17	4
ENSCPBG00000013264	21	14	15	31
ENSCPBG00000001813	408	304	409	304
ENSCPBG00000010539	616	706	496	1809
ENSCPBG00000017956	19	7	23	51
ENSCPBG00000012292	4	1	2	4
ENSCPBG00000002828	307	292	301	1962
ENSCPBG00000021643	3	12	4	9
ENSCPBG00000001860	196	194	116	172
ENSCPBG00000001701	83	100	93	82
ENSCPBG00000013756	222	211	108	188
ENSCPBG00000001565	731	759	850	1304
ENSCPBG00000001562	140	150	124	634
ENSCPBG00000015509	91	59	113	162
ENSCPBG00000011510	492	335	442	390
ENSCPBG00000014301	191	201	137	140
ENSCPBG00000014974	123	164	105	92
ENSCPBG00000007959	244	209	123	102
ENSCPBG00000005352	110	83	111	76
ENSCPBG00000002557	1213	1158	839	2143
ENSCPBG00000024292	9	3	6	18
ENSCPBG00000003591	147	157	177	204
ENSCPBG00000021929	146	136	90	116
ENSCPBG00000004064	2269	1683	2433	2856
ENSCPBG00000002776	175	173	119	49
ENSCPBG00000000572	630	472	379	665
ENSCPBG00000010304	86	79	79	141
ENSCPBG00000002797	95	59	103	60
ENSCPBG00000012593	2312	1940	2052	10210
ENSCPBG00000016120	1033	772	1052	1001
ENSCPBG00000007626	70	56	38	72
ENSCPBG00000013443	13	6	0	14
ENSCPBG00000012130	86	79	85	309
ENSCPBG00000019834	973	924	848	1142
ENSCPBG00000001358	0	0	2	391
ENSCPBG00000016336	114	126	92	56
ENSCPBG00000014383	123	47	101	142
ENSCPBG00000027714	860	1002	622	795
ENSCPBG00000006307	2	2	2	0
ENSCPBG00000010219	11	10	12	2
ENSCPBG00000009141	91	95	29	71
ENSCPBG00000007417	15	19	18	8
ENSCPBG00000000642	2	1	4	118
ENSCPBG00000006067	479	438	543	306
ENSCPBG00000004153	763	554	761	562
ENSCPBG00000010344	233	222	212	609
ENSCPBG00000017068	233	168	273	295
ENSCPBG00000000716	206	212	139	325
ENSCPBG00000001650	416	324	194	262
ENSCPBG00000011325	0	5	0	5
ENSCPBG00000003089	517	383	345	156
ENSCPBG00000023993	757	686	546	969
ENSCPBG00000013800	255	267	334	928
ENSCPBG00000006398	490	388	494	496
ENSCPBG00000013205	352	292	270	652
ENSCPBG00000004350	306	318	272	331
ENSCPBG00000021860	115	155	86	249
ENSCPBG00000000374	1134	901	912	1250
ENSCPBG00000004313	326	238	270	40
ENSCPBG00000002584	1701	1288	1504	1849
ENSCPBG00000001165	17	6	12	12
ENSCPBG00000011078	159	138	173	96
ENSCPBG00000010346	542	546	330	669
ENSCPBG00000010594	610	519	473	848
ENSCPBG00000000222	5	7	2	24
ENSCPBG00000026196	280	257	235	348
ENSCPBG00000000209	3	1	1	27
ENSCPBG00000000599	117	112	114	147
ENSCPBG00000004255	183	191	81	123
ENSCPBG00000015675	40	41	54	105
ENSCPBG00000000954	1391	1489	1184	1283
ENSCPBG00000026959	202	205	182	132
ENSCPBG00000000691	233	235	111	220
ENSCPBG00000021362	217	181	150	143
ENSCPBG00000001519	1	2	4	0
ENSCPBG00000003447	0	2	2	15
ENSCPBG00000017712	18	10	17	18
ENSCPBG00000019586	49	74	32	61
ENSCPBG00000012901	255	280	210	421
ENSCPBG00000001547	610	575	772	809
ENSCPBG00000027711	10	3	1	4
ENSCPBG00000021526	187	150	112	92
ENSCPBG00000004450	273	362	238	571
ENSCPBG00000004959	702	835	698	1431
ENSCPBG00000001482	1407	1248	1006	923
ENSCPBG00000006169	5	12	7	10
ENSCPBG00000002229	244	271	179	223
ENSCPBG00000000108	0	2	4	1
ENSCPBG00000008819	2815	3065	2604	4752
ENSCPBG00000001471	48	15	16	0
ENSCPBG00000028427	50	54	22	39
ENSCPBG00000007804	6	2	3	10
ENSCPBG00000027386	442	362	290	327
ENSCPBG00000005468	42	44	31	1953
ENSCPBG00000004573	2390	1980	1748	5074
ENSCPBG00000013445	97	83	169	165
ENSCPBG00000017994	348	301	270	537
ENSCPBG00000021544	2224	1979	1386	5843
ENSCPBG00000006986	199	243	125	82
ENSCPBG00000021471	269	218	123	138
ENSCPBG00000019398	357	343	279	228
ENSCPBG00000002576	96	83	71	1321
ENSCPBG00000003357	1178	1261	580	1504
ENSCPBG00000005422	83	52	61	206
ENSCPBG00000000504	396	335	312	1307
ENSCPBG00000000467	698	652	561	829
ENSCPBG00000012511	9998	9098	7460	8508
ENSCPBG00000024533	317	354	173	606
ENSCPBG00000014227	9	1	3	2
ENSCPBG00000010226	620	825	534	1748
ENSCPBG00000000652	2	3	2	3
ENSCPBG00000001534	1	2	0	37
ENSCPBG00000002460	18	11	21	5
ENSCPBG00000018081	8	8	13	78
ENSCPBG00000011738	312	321	191	252
ENSCPBG00000016112	734	595	710	634
ENSCPBG00000003801	22	31	41	1435
ENSCPBG00000020437	1378	1290	1542	1551
ENSCPBG00000021312	1735	1575	1282	2277
ENSCPBG00000013584	9	14	0	6
ENSCPBG00000026050	716	645	718	901
ENSCPBG00000023126	55	73	52	90
ENSCPBG00000000138	35	37	27	415
ENSCPBG00000000798	331	352	357	468
ENSCPBG00000007998	64	57	53	93
ENSCPBG00000017427	6186	6813	4599	21539
ENSCPBG00000011098	562	491	389	1205
ENSCPBG00000009270	1	2	0	2
ENSCPBG00000019068	45	29	51	67
ENSCPBG00000007510	49	45	45	50
ENSCPBG00000020937	59	59	33	58
ENSCPBG00000007633	227	248	121	325
ENSCPBG00000003468	60	58	37	24
ENSCPBG00000014369	4	7	3	2
ENSCPBG00000020001	308	325	216	685
ENSCPBG00000002018	115	120	108	552
ENSCPBG00000026378	897	883	519	1577
ENSCPBG00000022644	528	471	513	1028
ENSCPBG00000009717	7	8	6	0
ENSCPBG00000012247	500	501	346	543
ENSCPBG00000020639	69	65	33	122
ENSCPBG00000017199	20013	12632	29307	5639
ENSCPBG00000000524	6	6	2	4
ENSCPBG00000007583	14	13	20	15
ENSCPBG00000017612	177	143	212	134
ENSCPBG00000026417	509	539	355	282
ENSCPBG00000001689	186	146	172	248
ENSCPBG00000025587	862	1061	400	1014
ENSCPBG00000025506	2059	1901	1434	2455
ENSCPBG00000002534	252	214	213	466
ENSCPBG00000005973	73	59	63	116
ENSCPBG00000001825	386	406	123	225
ENSCPBG00000016984	779	669	600	1056
ENSCPBG00000019566	18	10	13	11
ENSCPBG00000004812	150	112	106	847
ENSCPBG00000019658	657	675	511	581
ENSCPBG00000013472	72	73	46	137
ENSCPBG00000012786	294	222	159	187
ENSCPBG00000000359	20	12	20	15
ENSCPBG00000011919	361	236	236	174
ENSCPBG00000027135	24849	16945	36573	14230
ENSCPBG00000002569	34231	26335	46566	22954
ENSCPBG00000018582	0	0	2	14
ENSCPBG00000001080	38	43	19	58
ENSCPBG00000014971	189	144	167	142
ENSCPBG00000027163	113	97	105	99
ENSCPBG00000024664	1428	1581	745	2000
ENSCPBG00000000629	80	99	55	123
ENSCPBG00000010802	7	5	8	149
ENSCPBG00000001981	408	399	316	2846
ENSCPBG00000000623	296	255	339	1585
ENSCPBG00000001181	29	26	11	44
ENSCPBG00000007848	152	146	137	81
ENSCPBG00000007682	62	70	49	108
ENSCPBG00000013207	320	400	440	617
ENSCPBG00000016472	125	139	129	234
ENSCPBG00000000470	113	112	65	72
ENSCPBG00000023096	66	50	62	33
ENSCPBG00000002813	55	66	57	28
ENSCPBG00000005749	193	192	145	311
ENSCPBG00000009090	872	1042	913	30
ENSCPBG00000022655	1273	970	1407	1811
ENSCPBG00000002492	88	75	77	25
ENSCPBG00000006714	9	18	2	2
ENSCPBG00000008376	341	384	309	321
ENSCPBG00000027394	3	3	3	6
ENSCPBG00000003660	118	97	169	72
ENSCPBG00000002489	166	157	137	827
ENSCPBG00000000695	1061	816	1303	147
ENSCPBG00000006340	70	56	60	122
ENSCPBG00000007861	12	16	22	31
ENSCPBG00000006245	24	39	16	18
ENSCPBG00000000704	151	152	104	161
ENSCPBG00000004488	173	346	158	289
ENSCPBG00000000106	547	496	841	732
ENSCPBG00000000864	86	70	49	60
ENSCPBG00000000598	954	991	651	9344
ENSCPBG00000012566	952	793	714	1233
ENSCPBG00000001272	107	107	73	63
ENSCPBG00000012737	745	708	718	634
ENSCPBG00000016397	791	574	1041	626
ENSCPBG00000006683	95	71	53	143
ENSCPBG00000012054	94	89	91	22
ENSCPBG00000026942	28	24	13	10
ENSCPBG00000018015	112	105	84	98
ENSCPBG00000025015	13	14	12	1767
ENSCPBG00000000596	117	88	123	343
ENSCPBG00000013160	1779	1550	1650	1550
ENSCPBG00000016609	1332	1125	1375	1356
ENSCPBG00000009199	5	1	4	5
ENSCPBG00000021147	30749	16928	31562	17232
ENSCPBG00000000047	162	155	174	115
ENSCPBG00000001154	1111	803	1442	492
ENSCPBG00000027101	4	1	0	7
ENSCPBG00000005918	348	311	202	1404
ENSCPBG00000013457	2330	2038	1941	2619
ENSCPBG00000003126	160	148	138	173
ENSCPBG00000003911	238	227	125	248
ENSCPBG00000003977	13	10	3	6
ENSCPBG00000009697	614	431	844	1308
ENSCPBG00000004770	34	28	24	12
ENSCPBG00000000576	382	368	352	525
ENSCPBG00000010484	4	3	3	54
ENSCPBG00000006662	330	275	285	245
ENSCPBG00000008934	304	222	274	555
ENSCPBG00000013450	82	34	67	55
ENSCPBG00000019346	304	244	314	359
ENSCPBG00000000679	348	406	393	227
ENSCPBG00000016279	1335	1220	646	1507
ENSCPBG00000005369	6	6	10	8
ENSCPBG00000000104	117	119	111	173
ENSCPBG00000024212	991	801	1031	615
ENSCPBG00000025293	372	284	216	323
ENSCPBG00000014576	762	678	659	964
ENSCPBG00000004179	213	192	176	313
ENSCPBG00000011492	2328	2093	2081	2222
ENSCPBG00000025864	2566	1842	2898	2719
