lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
CAPRIN1,0.252347022,1.37315e-15,6.92978e-14,0.393263965,0.346545928,CAPRIN1
PRDM1,0.516386032,1.42849e-15,7.19486e-14,0.184939759,0.1375122,PRDM1
ZNRF2,0.292855531,2.2841e-15,1.13476e-13,0.33094195,0.283917146,ZNRF2
MAN1A2,0.343681335,3.13991e-15,1.54825e-13,0.300711939,0.259245201,MAN1A2
DUSP12,0.731584191,3.46438e-15,1.70128e-13,0.142935378,0.097006832,DUSP12
PSMA2,0.216402993,5.31755e-15,2.58154e-13,0.48762322,0.437045874,PSMA2
TOP1,0.208185628,1.48931e-14,7.13529e-13,0.557502738,0.516484112,TOP1
IER3,0.627231598,2.25607e-14,1.07129e-12,0.172508215,0.129703937,IER3
EMILIN2,0.736387312,2.62752e-14,1.24023e-12,0.158926616,0.117991541,EMILIN2
ARAP2,0.255955666,2.88539e-14,1.35944e-12,0.357612267,0.309673571,ARAP2
RAPGEF2,0.51741457,4.2161e-14,1.97545e-12,0.139759036,0.09256046,RAPGEF2
YTHDC1,0.237962216,4.56029e-14,2.13281e-12,0.39550931,0.349528251,YTHDC1
RYBP_LOC107509182,0.320044667,6.38169e-14,2.95758e-12,0.269331873,0.223565774,RYBP
BCLAF1,0.198624447,8.19103e-14,3.76876e-12,0.509967141,0.462531179,BCLAF1
CCDC122,0.473854512,8.85317e-14,4.06609e-12,0.187075575,0.143151502,CCDC122
NFE2L3,0.697788358,1.11082e-13,5.0744e-12,0.143154436,0.1003145,NFE2L3
PDCD1LG2,0.608698547,1.20593e-13,5.47948e-12,0.152464403,0.108936124,PDCD1LG2
ZNRF1,0.390309781,1.81978e-13,8.19573e-12,0.230175246,0.187615226,ZNRF1
EHD4,0.527466834,3.11663e-13,1.38894e-11,0.174972618,0.132848932,EHD4
BAZ1A,0.325722188,3.18668e-13,1.41522e-11,0.28094195,0.239887214,BAZ1A
LMO2,0.70333606,3.44287e-13,1.52634e-11,0.143702081,0.102212341,LMO2
ATXN7,0.332951516,4.33684e-13,1.9127e-11,0.222672508,0.176878863,ATXN7
ATAD1,0.50297904,4.8185e-13,2.11782e-11,0.168455641,0.12547446,ATAD1
SPPL2A,0.30199644,5.11695e-13,2.24513e-11,0.285542169,0.242977985,SPPL2A
INHBA,2.350871801,6.16181e-13,2.68971e-11,0.058050383,0.014911615,INHBA
PSTPIP2,0.540605485,6.83114e-13,2.97172e-11,0.178915663,0.138379785,PSTPIP2
GSAP_LOC107511514,0.71437943,8.19763e-13,3.55407e-11,0.129079956,0.08708383,GSAP
AIMP1,0.223668769,1.04317e-12,4.49975e-11,0.3949069,0.35272747,AIMP1
ACTR2,0.149871066,1.09468e-12,4.71397e-11,0.678860898,0.645971153,ACTR2
SLC39A14,0.993997753,1.73177e-12,7.38273e-11,0.105914567,0.064960416,SLC39A14
APLP2,0.528736889,2.31164e-12,9.75704e-11,0.231818182,0.202255721,APLP2
ETV6,0.504470944,3.50127e-12,1.46331e-10,0.163910186,0.122871706,ETV6
FXR1,0.210624501,4.39761e-12,1.82006e-10,0.409309967,0.367367964,FXR1
CYBB_LOC107503927,0.479920983,5.25787e-12,2.14824e-10,0.232803943,0.200357879,CYBB
ZNF292,0.207146838,6.48532e-12,2.63709e-10,0.40449069,0.361186422,ZNF292
IMP4,0.328771204,6.8016e-12,2.7613e-10,0.257174151,0.217980696,IMP4
CNP_LOC107513810,0.464692354,7.01436e-12,2.84316e-10,0.169715225,0.128836352,CNP
SRI,0.232000515,7.18595e-12,2.90349e-10,0.370865279,0.332013881,SRI
POLB,0.489537507,8.3064e-12,3.35091e-10,0.173110624,0.133445396,POLB
BBX,0.263394415,1.12328e-11,4.50299e-10,0.323767798,0.285218523,BBX
PSME1,0.138265848,1.18498e-11,4.74291e-10,0.775301205,0.746285652,PSME1
LPIN2,0.343748301,1.25355e-11,5.00947e-10,0.239868565,0.200737447,LPIN2
WIPF1,0.157071248,1.98215e-11,7.79912e-10,0.630284775,0.597765969,WIPF1
SZRD1,0.319362134,2.50796e-11,9.73301e-10,0.262814896,0.226493873,SZRD1
ARHGEF3,0.581344366,2.7208e-11,1.0527e-09,0.13143483,0.091421755,ARHGEF3
RBL2,0.243559077,2.80238e-11,1.08263e-09,0.334556407,0.294490836,RBL2
