pic_names,pic_logfoldchanges,pic_pvals,pic_pvals_adj,pic_pts,UNST_pts,1to1_bat_dragon
ENSVKKG00000006140,0.41017732,0.940570081,1,0.00287687,0.001468429,no
ENSVKKG00000009311,-0.007514636,0.940903077,1,0.033371692,0.031815957,no
SETD1A,0.62416178,0.940926863,1,0.009205984,0.00783162,SETD1A
MIF4GD,-0.127191082,0.941105258,1,0.102991945,0.099853157,MIF4GD
KIAA0556,-0.642938673,0.941129045,1,0.013233602,0.01174743,no
ENSVKKG00000013281,-0.123883285,0.94118851,1,0.036823936,0.035242291,no
NRK,-0.067481667,0.941283656,1,0.241081703,0.23690651,NRK
NAB2_1,0.041927192,0.941473951,1,0.019562716,0.018110622,no
CD2BP2,-0.127642199,0.941616674,1,0.289988493,0.278022516,CD2BP2
PIK3CD,0.210194096,0.941640462,1,0.009205984,0.00783162,PIK3CD
GPR85,-0.041860748,0.941711824,1,0.012658228,0.011257954,GPR85
USP32,-0.017526923,0.941795081,1,0.141542002,0.139011258,USP32
SLC25A22,0.211587012,0.941878338,1,0.009205984,0.00783162,SLC25A22
ZBTB33,-0.085614875,0.942032961,1,0.059838895,0.058247675,ZBTB33
HMGCS2,-0.066396385,0.942425474,1,0.025316456,0.023984337,no
DDX41,-0.073158033,0.942437369,1,0.348101266,0.335780715,DDX41
NDUFS7,-0.110056609,0.942484947,1,0.439585731,0.414096916,NDUFS7
TCP1,-0.043309223,0.942615789,1,0.609896433,0.572687225,TCP1
ARSE,0.047917474,0.942615789,1,0.009205984,0.00783162,no
MEN1,-0.04626859,0.942710947,1,0.009205984,0.00783162,MEN1
CETN2_1,-0.120850727,0.942710947,1,0.016110472,0.014684288,no
KIAA0586,0.578776121,0.942758527,1,0.00575374,0.004405286,KIAA0586
ADAMTS9,0.627517283,0.942853687,1,0.00575374,0.004405286,ADAMTS9
ENSVKKG00000012405,0.712713182,0.942901267,1,0.00575374,0.004405286,no
KIF1A,0.084578566,0.942925057,1,0.00575374,0.004405286,KIF1A
KLF5_2,0.152229682,0.943044008,1,0.00575374,0.004405286,no
ENSVKKG00000012400,0.427425027,0.943044008,1,0.00575374,0.004405286,no
TBC1D8B,0.004911775,0.943281915,1,0.021864212,0.020558003,TBC1D8B
PFN2,1.98907423,0.943948082,1,0.002301496,0.000978953,PFN2
IGHV3-49_2,2.626396179,0.943948082,1,0.002301496,0.000978953,no
ZBTB20,2.111082792,0.943948082,1,0.002301496,0.000978953,ZBTB20
E2F3,2.463463068,0.943971874,1,0.002301496,0.000978953,E2F3
MOXD2,1.676595688,0.943971874,1,0.002301496,0.000978953,no
ENSVKKG00000016679,1.314509869,0.943995666,1,0.002301496,0.000978953,no
ECT2L,1.395858407,0.943995666,1,0.002301496,0.000978953,ECT2L
DQX1_2,2.658149719,0.943995666,1,0.002301496,0.000978953,no
RFT1,-0.303728282,0.944019459,1,0.043728423,0.042094958,RFT1
CCDC63,1.898184299,0.944019459,1,0.002301496,0.000978953,CCDC63
SGK494_2,1.476369858,0.944019459,1,0.002301496,0.000978953,no
TMPRSS13,1.221901178,0.944019459,1,0.002301496,0.000978953,TMPRSS13
GPRIN3,1.323499203,0.944043251,1,0.002301496,0.000978953,GPRIN3
DPEP3_1,1.129335642,0.944043251,1,0.002301496,0.000978953,no
FAT4,0.481594175,0.944043251,1,0.002301496,0.000978953,FAT4
NKX3-1,0.960216522,0.944043251,1,0.002301496,0.000978953,NKX3-1
DTD2,1.240717173,0.944043251,1,0.002301496,0.000978953,DTD2
ENSVKKG00000018379,0.753719687,0.944043251,1,0.002301496,0.000978953,no
NPR2,1.07442534,0.944043251,1,0.002301496,0.000978953,NPR2
TRMT2B,1.1917665,0.944043251,1,0.002301496,0.000978953,TRMT2B
TSPAN12,1.743669987,0.944043251,1,0.002301496,0.000978953,TSPAN12
F11R,1.218616486,0.944043251,1,0.002301496,0.000978953,F11R
ENSVKKG00000015134,1.619082928,0.944043251,1,0.002301496,0.000978953,no
C17ORF80_2,0.90624249,0.944043251,1,0.002301496,0.000978953,no
RASEF,0.909665704,0.944067044,1,0.002301496,0.000978953,RASEF
DFNB59,-0.232655197,0.944067044,1,0.002301496,0.000978953,no
CRISPLD2,1.611127377,0.944067044,1,0.002301496,0.000978953,CRISPLD2
GSC2,1.023913741,0.944067044,1,0.002301496,0.000978953,GSC2
IBTK,-0.116545409,0.94407894,1,0.310126582,0.298580519,IBTK
TTC25,0.95354104,0.944090837,1,0.002301496,0.000978953,no
ENSVKKG00000002232,0.540661693,0.944090837,1,0.002301496,0.000978953,no
ABCA4,0.265236408,0.944114629,1,0.002301496,0.000978953,ABCA4
SAG,0.72543782,0.944114629,1,0.002301496,0.000978953,no
GJB2_2,0.494726121,0.944114629,1,0.002301496,0.000978953,no
ENSVKKG00000000384,-0.798875809,0.944138422,1,0.002301496,0.000978953,no
CDH11,-0.570397139,0.944138422,1,0.002301496,0.000978953,CDH11
RRAD_2,0.06866996,0.944138422,1,0.002301496,0.000978953,no
LETM2_2,0.517882288,0.944138422,1,0.002301496,0.000978953,no
SLC35C2,-0.006077216,0.944649978,1,0.012082854,0.010768478,SLC35C2
C20ORF27,-0.327114612,0.945137761,1,0.015535098,0.014194812,no
FILIP1L,0.425977618,0.945328122,1,0.00863061,0.007342144,no
KCTD7,0.164051518,0.945351917,1,0.00863061,0.007342144,KCTD7
TMEM2,0.063984834,0.945613668,1,0.075373993,0.074400392,no
UHRF2,-0.071318209,0.945637464,1,0.143268124,0.141458639,UHRF2
FRMD4B,0.10690967,0.945661259,1,0.00863061,0.007342144,FRMD4B
CBWD1,-0.044434216,0.945768342,1,0.140966628,0.13999021,no
RIN2_1,-0.302768409,0.945946814,1,0.014959724,0.013705335,no
LYPD3,-0.057892971,0.946030102,1,0.012082854,0.010768478,LYPD3
GFM2,0.081841201,0.946042,1,0.018411968,0.017131669,GFM2
H2AFY2,-0.097152285,0.946101492,1,0.012082854,0.010768478,H2AFY2
ENSVKKG00000007255,0.377050757,0.946184781,1,0.014959724,0.013705335,no
BBIP1,-0.135463849,0.946208578,1,0.275028769,0.263827704,BBIP1
PRIM1,-0.096281327,0.946434652,1,0.005178366,0.00391581,PRIM1
C16ORF52,-0.096463084,0.94644655,1,0.00863061,0.007342144,no
HYKK,0.360896647,0.946529842,1,0.005178366,0.00391581,HYKK
SLC7A7_1,-0.192118928,0.946672629,1,0.005178366,0.00391581,no
CDC26,-0.206172481,0.946672629,1,0.092059839,0.088595203,CDC26
FNDC4,-0.427762985,0.946744023,1,0.005178366,0.00391581,FNDC4
EVPL,0.412213176,0.946839216,1,0.005178366,0.00391581,EVPL
MTURN,0.030960824,0.946839216,1,0.005178366,0.00391581,MTURN
ZNF710,0.088307858,0.946910611,1,0.005178366,0.00391581,ZNF710
FAM124B,-0.388288647,0.946934409,1,0.005178366,0.00391581,FAM124B
NUDT4,-0.097454771,0.946946308,1,0.035097814,0.033773862,NUDT4
TLK2,0.006931109,0.947434187,1,0.14269275,0.140969163,TLK2
TMEM117,2.420081139,0.947636484,1,0.001726122,0.000489476,TMEM117
WWOX_1,2.7020576,0.947636484,1,0.001726122,0.000489476,no
ITGB7,2.351337433,0.947636484,1,0.001726122,0.000489476,ITGB7
GIMAP4_1,3.508016586,0.947636484,1,0.001726122,0.000489476,no
FAM109A,2.572621107,0.947636484,1,0.001726122,0.000489476,no
STX10,3.216186047,0.947636484,1,0.001726122,0.000489476,STX10
MREG_2,2.802657604,0.947636484,1,0.001726122,0.000489476,no
AMH,2.70370698,0.947636484,1,0.001726122,0.000489476,AMH
CACNA1A,3.318155527,0.947636484,1,0.001726122,0.000489476,CACNA1A
IGLL1_2,2.390550613,0.947636484,1,0.001726122,0.000489476,no
ENSVKKG00000000513,2.180438995,0.947636484,1,0.001726122,0.000489476,no
ECEL1,2.97725153,0.947636484,1,0.001726122,0.000489476,ECEL1
APCS_1,3.183431864,0.947636484,1,0.001726122,0.000489476,no
ENSVKKG00000011683,2.799589396,0.947636484,1,0.001726122,0.000489476,no
TRIM10_4,1.927866459,0.947660284,1,0.001726122,0.000489476,no
ENSVKKG00000012742,3.249728441,0.947660284,1,0.001726122,0.000489476,no
BOC,2.587297678,0.947660284,1,0.001726122,0.000489476,BOC
TSPAN33,2.20161581,0.947660284,1,0.001726122,0.000489476,TSPAN33
HLA-DPB1_5,2.3867836,0.947660284,1,0.001726122,0.000489476,no
PCDHGC5_1,1.784629583,0.947660284,1,0.001726122,0.000489476,no
ZSWIM1,1.847979665,0.947660284,1,0.001726122,0.000489476,ZSWIM1
ENSVKKG00000017998,2.395805359,0.947660284,1,0.001726122,0.000489476,no
MYO1A,2.201683283,0.947660284,1,0.001726122,0.000489476,MYO1A
ENSVKKG00000016550,2.38062501,0.947660284,1,0.001726122,0.000489476,no
MR1_22,1.881401658,0.947660284,1,0.001726122,0.000489476,no
RAB19,2.061917305,0.947660284,1,0.001726122,0.000489476,RAB19
ENSVKKG00000015440,1.744708896,0.947660284,1,0.001726122,0.000489476,no
RBM20,1.479351163,0.947684084,1,0.001726122,0.000489476,RBM20
MAMDC4,1.800530791,0.947684084,1,0.001726122,0.000489476,MAMDC4
SFTPA1_2,1.684733868,0.947684084,1,0.001726122,0.000489476,no
MAOA,1.759511828,0.947684084,1,0.001726122,0.000489476,no
ENSVKKG00000016533,1.615541101,0.947684084,1,0.001726122,0.000489476,no
DCK,-0.032660522,0.947707884,1,0.001726122,0.000489476,DCK
CCDC178,1.328012824,0.947707884,1,0.001726122,0.000489476,CCDC178
ENSVKKG00000003800,1.02280283,0.947707884,1,0.001726122,0.000489476,no
CAPS2,1.636427164,0.947707884,1,0.001726122,0.000489476,CAPS2
SALL1,0.967652678,0.947707884,1,0.001726122,0.000489476,SALL1
TULP2,1.702985168,0.947707884,1,0.001726122,0.000489476,TULP2
KLF17,-0.458218008,0.947707884,1,0.001726122,0.000489476,no
WWC3_1,0.012793758,0.947707884,1,0.001726122,0.000489476,no
S100A16,0.91920954,0.947707884,1,0.001726122,0.000489476,S100A16
CDK14,0.29995963,0.947707884,1,0.001726122,0.000489476,CDK14
WNK4,-0.322122633,0.947707884,1,0.001726122,0.000489476,WNK4
SHROOM2,1.162637711,0.947707884,1,0.001726122,0.000489476,SHROOM2
ENSVKKG00000005182,0.816610038,0.947707884,1,0.001726122,0.000489476,no
CERS1,0.007324285,0.947707884,1,0.001726122,0.000489476,CERS1
C2ORF82,1.386634111,0.947707884,1,0.001726122,0.000489476,no
PARP9,1.21199584,0.947707884,1,0.001726122,0.000489476,PARP9
FAM173A_2,0.728725135,0.947707884,1,0.001726122,0.000489476,no
TEX33,1.088465571,0.947707884,1,0.001726122,0.000489476,TEX33
C17ORF70,0.336696506,0.947707884,1,0.001726122,0.000489476,no
HORMAD2,1.045610666,0.947707884,1,0.001726122,0.000489476,HORMAD2
DSP,1.09831953,0.947707884,1,0.001726122,0.000489476,DSP
THNSL1,-0.04963576,0.947874485,1,0.01150748,0.010279001,THNSL1
PTK2B,-0.375784904,0.94808869,1,0.029344074,0.027900147,PTK2B
IGF2R,-0.074256778,0.948398103,1,0.692174914,0.644150759,IGF2R
TMEM234,-0.119937345,0.948445706,1,0.025316456,0.023984337,TMEM234
ADSSL1,0.699280858,0.948540912,1,0.008055236,0.006852668,no
CETN2_3,-0.227301031,0.948564714,1,0.0287687,0.027410671,no
ENSVKKG00000017473,-0.051850501,0.948683723,1,0.01150748,0.010279001,no
ENSVKKG00000016613,0.484170079,0.948826535,1,0.008055236,0.006852668,no
UCK1,-0.075327493,0.948921744,1,0.014959724,0.013705335,UCK1
TTC39C,-0.258187324,0.949207375,1,0.0287687,0.027410671,TTC39C
ACRC,-0.049757998,0.94924308,1,0.024741082,0.02349486,no
MAPKAP1,-0.044767018,0.949373997,1,0.17433832,0.173274596,MAPKAP1
DCTN5,-0.422733963,0.949754854,1,0.008055236,0.006852668,DCTN5
APBB2_1,0.404850096,0.949766756,1,0.010932106,0.009789525,no
CNN2,-0.482861191,0.949802462,1,0.01150748,0.010279001,CNN2
GALNT15,0.007640391,0.949802462,1,0.008055236,0.006852668,GALNT15
TVP23A,0.766349673,0.949897678,1,0.004602992,0.003426334,TVP23A
ENSVKKG00000013286,1.364335179,0.949969091,1,0.004602992,0.003426334,no
VWA3B_2,-0.107613891,0.950040504,1,0.004602992,0.003426334,no
NT5E,0.187631994,0.950111917,1,0.01438435,0.013215859,NT5E
LNX2,0.355582237,0.950159527,1,0.004602992,0.003426334,LNX2
ILF2_2,0.387988657,0.950254746,1,0.004602992,0.003426334,no
TMEM127,-0.088532262,0.950349966,1,0.107594937,0.105237396,TMEM127
CRYGS,0.216558605,0.950421381,1,0.004602992,0.003426334,CRYGS
ZCCHC3_7,-0.349737018,0.950588018,1,0.01150748,0.010279001,no
MR1_13,-0.376681685,0.950707046,1,0.004602992,0.003426334,no
CFD,-0.223307312,0.950849881,1,0.03164557,0.030347528,CFD
VAMP3,-0.098020867,0.95111175,1,0.286536249,0.278511992,VAMP3
TOM1L1_1,18.79104424,0.951302203,1,0.001150748,0,no
ENSVKKG00000005535,18.16197205,0.951302203,1,0.001150748,0,no
IL10,19.77441597,0.951302203,1,0.001150748,0,IL10
CYP4A11_2,20.13245583,0.951302203,1,0.001150748,0,no
PGF,19.27612495,0.951302203,1,0.001150748,0,PGF
CLDN4_2,19.11005974,0.951302203,1,0.001150748,0,no
FOXD2,19.15526581,0.951302203,1,0.001150748,0,FOXD2
GLIPR1L1,19.3405838,0.951302203,1,0.001150748,0,GLIPR1L1
ENSVKKG00000012425,19.41202545,0.951302203,1,0.001150748,0,no
