,logFC,logCPM,PValue,QValue
ENSGALG00010015676,4.63336832178371,8.03014769671342,3.64982463561933e-16,1.63820511697765e-14
ENSGALG00010003202,2.6802041833729,7.89127975648376,3.75322643710362e-16,1.67907498502004e-14
ENSGALG00010019994,2.67277346500323,4.20437394078471,3.97677597595512e-16,1.77325092698327e-14
ENSGALG00010002134,2.25269784765499,7.39382792243733,4.04442935529269e-16,1.79752415790786e-14
ENSGALG00010015541,4.99218337094374,2.77242092979714,4.31293173888373e-16,1.91061471168791e-14
ENSGALG00010013315,2.6385722551331,3.89926630501007,4.61669188372569e-16,2.03853927333342e-14
ENSGALG00010027026,-2.94668610843724,5.69295701514893,4.95560402973716e-16,2.18110727522412e-14
ENSGALG00010022470,2.15572845617355,7.45780904883906,5.04856445779794e-16,2.21485408471135e-14
ENSGALG00010006838,2.68440459616117,3.77259821130321,5.32940580515234e-16,2.3305440176872e-14
ENSGALG00010017054,-3.37366249882407,3.73700725734849,5.41091884260932e-16,2.35860564934252e-14
ENSGALG00010016953,-3.47849287458393,5.25536719611274,5.58565219438878e-16,2.41926337081807e-14
ENSGALG00010024735,2.97768055234507,3.48322921325699,5.57595935864837e-16,2.41926337081807e-14
ENSGALG00010021018,9.36191282599973,1.04465665839912,5.7089955775565e-16,2.46483618586566e-14
ENSGALG00010027644,2.52688521878186,4.47272172639777,6.4962504431457e-16,2.78370906100272e-14
ENSGALG00010021352,3.84246728054162,2.41170114023567,6.50896677499166e-16,2.78370906100272e-14
ENSGALG00010010697,2.34817691584291,5.55769930346265,6.49566246837339e-16,2.78370906100272e-14
ENSGALG00010014810,3.41791096936022,2.78483848004405,6.99405806713931e-16,2.98179278097475e-14
ENSGALG00010005670,-3.59520276429331,3.59854765360605,7.35372761571837e-16,3.12533423668031e-14
ENSGALG00010017992,2.00219852112766,6.69203424313435,7.74915729972914e-16,3.28313206468275e-14
ENSGALG00010021578,3.05729024220054,4.77995980867575,7.937150245888e-16,3.35233674981605e-14
ENSGALG00010006212,2.49328379727269,6.08725853932339,8.02267507114643e-16,3.37796845100902e-14
ENSGALG00010026770,3.94908415424872,3.35586500572576,8.06349698928979e-16,3.38467774859078e-14
ENSGALG00010027751,10.0516605297462,1.73414676082565,8.24508655402857e-16,3.45025160414734e-14
ENSGALG00010020768,6.39590796588667,1.93836337851544,9.04765056761734e-16,3.77447999139864e-14
ENSGALG00010013058,2.55339129584113,4.21092599213664,9.22666534024572e-16,3.83738986627956e-14
ENSGALG00010017641,-3.35871291756389,5.01304409061834,1.13759756224689e-15,4.7168679410237e-14
ENSGALG00010010216,2.03908253710862,6.19565849427559,1.16027463661817e-15,4.7962720541055e-14
ENSGALG00010021539,-2.19888213484137,7.54231920843222,1.54616751472341e-15,6.37208430310253e-14
ENSGALG00010029670,-2.08883300847043,5.13244765221429,1.5730288441834e-15,6.46320008486232e-14
ENSGALG00010021251,1.9030911419172,6.01504898358266,1.69160461232948e-15,6.92946467701232e-14
ENSGALG00010018822,2.21383891835396,5.05449482675119,1.734820595997e-15,7.08515318485263e-14
ENSGALG00010017590,-3.12304859507806,3.99838045298147,2.05102986286811e-15,8.35149884281624e-14
ENSGALG00010014690,-2.57157921856695,8.85556619844705,2.13896046661407e-15,8.68354099879146e-14
ENSGALG00010023066,2.11633504235932,6.49087056718766,2.40062175437798e-15,9.71680233914897e-14
ENSGALG00010002792,-2.23071018842098,4.38571411127706,2.93230306455666e-15,1.18336266106738e-13
ENSGALG00010009502,2.61541930959793,6.48548851693925,2.96847220287445e-15,1.19441485086073e-13
ENSGALG00010017818,-2.34814015950215,4.96409891336071,3.08526331757914e-15,1.23774575572497e-13
ENSGALG00010002782,-2.13711694517241,8.00545850850689,3.21335430827763e-15,1.28534172331105e-13
ENSGALG00010022439,2.16710655567484,7.4760520954316,3.31355647914997e-15,1.32153572188972e-13
ENSGALG00010024580,-4.09925948550638,2.16584007763147,3.38481436144742e-15,1.34600805016622e-13
ENSGALG00010010460,3.69180531670082,3.50951342192098,3.58344508720384e-15,1.42084120075721e-13
ENSGALG00010026755,5.17010545339937,1.33522357195905,3.64053602665501e-15,1.43928168495663e-13
ENSGALG00010022479,-3.3202916123514,3.14462987888184,3.7760266580131e-15,1.48852065359357e-13
ENSGALG00010005792,-3.69839049952176,2.96142351712786,4.8382066901688e-15,1.9017228608756e-13
ENSGALG00010005394,-2.50880491096576,4.7872286496889,4.98536873250855e-15,1.95391973377857e-13
ENSGALG00010014614,-3.34922915438743,2.85668666545331,5.03496787412412e-15,1.96768859448529e-13
ENSGALG00010024081,2.01631328474764,6.8215460033687,6.56529101054245e-15,2.5583942046813e-13
ENSGALG00010002632,5.77962766883866,3.14305773597721,6.87881670727937e-15,2.67291163482856e-13
ENSGALG00010024954,9.90681249022958,1.5911291380661,7.52064632108305e-15,2.91398262013474e-13
ENSGALG00010027155,-3.26471908966567,3.5966323496974,9.74402690621851e-15,3.7647376683117e-13
ENSGALG00010029551,5.5372408889446,4.28966228879325,1.05385329417339e-14,4.06017133165951e-13
ENSGALG00010021426,-2.12128458977791,5.57860209724352,1.06043445536335e-14,4.07398547823209e-13
ENSGALG00010001911,4.85314998289233,4.09325416031761,1.09452343699575e-14,4.18132548964667e-13
ENSGALG00010013886,6.84757642288308,2.66310130634181,1.0932469711792e-14,4.18132548964667e-13
